68.0,Charging
68.0,Charging
69.0,Charging
69.0,Charging
70.0,Charging
70.0,Charging
71.0,Charging
71.0,Charging
72.0,Charging
72.0,Charging
73.0,Charging
73.0,Charging
74.0,Charging
74.0,Charging
75.0,Charging
75.0,Charging
76.0,Charging
76.0,Charging
76.0,Charging
77.0,Charging
77.0,Charging
78.0,Charging
78.0,Charging
79.0,Charging
79.0,Charging
79.0,Charging
80.0,Charging
80.0,Charging
81.0,Charging
81.0,Charging
81.0,Charging
82.0,Charging
82.0,Charging
82.0,Charging
83.0,Charging
83.0,Charging
83.0,Charging
84.0,Charging
84.0,Charging
85.0,Charging
85.0,Charging
85.0,Charging
86.0,Charging
86.0,Charging
86.0,Charging
87.0,Charging
87.0,Charging
87.0,Charging
87.0,Charging
87.0,Discharging
87.0,Discharging
86.0,Discharging
86.0,Discharging
85.0,Discharging
84.0,Discharging
84.0,Discharging
83.0,Discharging
83.0,Discharging
82.0,Discharging
82.0,Discharging
81.0,Discharging
80.0,Discharging
80.0,Discharging
79.0,Discharging
78.0,Discharging
78.0,Discharging
77.0,Discharging
76.0,Discharging
76.0,Discharging
75.0,Discharging
75.0,Discharging
74.0,Discharging
74.0,Discharging
73.0,Discharging
72.0,Discharging
72.0,Discharging
72.0,Discharging
71.0,Discharging
71.0,Discharging
70.0,Discharging
70.0,Discharging
69.0,Discharging
69.0,Discharging
68.0,Discharging
67.0,Discharging
67.0,Discharging
66.0,Discharging
66.0,Discharging
65.0,Discharging
65.0,Discharging
64.0,Discharging
64.0,Discharging
64.0,Discharging
63.0,Discharging
62.0,Discharging
61.0,Discharging
61.0,Discharging
60.0,Discharging
