58.0,Charging
59.0,Charging
58.0,Discharging
59.0,Charging
59.0,Charging
60.0,Charging
60.0,Charging
61.0,Charging
61.0,Charging
62.0,Charging
62.0,Charging
63.0,Charging
63.0,Charging
64.0,Charging
64.0,Charging
65.0,Charging
65.0,Charging
66.0,Charging
67.0,Charging
67.0,Charging
68.0,Charging
68.0,Charging
69.0,Charging
69.0,Charging
70.0,Charging
70.0,Charging
71.0,Charging
71.0,Charging
72.0,Charging
72.0,Charging
73.0,Charging
73.0,Charging
73.0,Charging
74.0,Charging
74.0,Charging
75.0,Charging
75.0,Charging
76.0,Charging
76.0,Charging
77.0,Charging
77.0,Charging
77.0,Charging
78.0,Charging
78.0,Charging
79.0,Charging
79.0,Charging
80.0,Charging
80.0,Charging
